"en","tr"
"DEEP SPACE OPERATIONS SYSTEM","DERİN UZAY OPERASYON SİSTEMİ"
"CONTINUE","DEVAM ET"
"NEW GAME","YENİ OYUN"
"EXIT","ÇIKIŞ"
"No save data — start a new game","Kayıt verisi yok — yeni bir oyuna başla"
"SYSTEM CONFIGURATION","SİSTEM YAPILANDIRMASI"
"Enable Offline Combat","Çevrimdışı Savaşı Etkinleştir"
"RETURN TO MENU","MENÜYE DÖN"
"SETTINGS","AYARLAR"
"SYSTEM READY  ◆","SİSTEM HAZIR  ◆"
"INITIALIZING SYSTEMS","SİSTEMLER BAŞLATILIYOR"
"ENTERING SECTOR","SEKTÖRE GİRİLİYOR"
"FINALIZING","TAMAMLANIYOR"
"Language","Dil"
"Zone %d  ·  %s","Bölge %d  ·  %s"
"+10 kW","+10 kW"
"0.0s / 0.0s","0.0s / 0.0s"
"100 Liras","100 Lira"
"ACCEPT","KABUL ET"
"ACKNOWLEDGE","ONAYLA"
"ACTIVE CONTRACTS","AKTİF SÖZLEŞMELER"
"ALL","TÜMÜ"
"AMMO BAY","CEPHANELİK"
"ARMOR","ZIRH"
"ARMORY","CEPHANELİK"
"ATK: 0 | DEF: 0","SDR: 0 | SAV: 0"
"ATLAS","ATLAS"
"Action Name","Eylem Adı"
"All","Tümü"
"Alloys","Alaşımlar"
"Atk: 0","Sdr: 0"
"Atlas","Atlas"
"BATTERY","BATARYA"
"BOUNTY BOARD","ÖDÜL PANOSU"
"Base Infrastructure","Temel Altyapı"
"Bounties","Ödül Avları"
"Build","İnşa Et"
"Building Name","Bina Adı"
"Buildings","Binalar"
"CLAIM ALL (0)","TÜMÜNÜ AL (0)"
"CLOSE","KAPAT"
"CONS: 0.0 kW","TÜKETİM: 0.0 kW"
"CORVETTE","KORVET"
"Claim","Al"
"Combat","Savaş"
"Completed: 0","Tamamlanan: 0"
"Completed: 0 | Slots: 0/3","Tamamlanan: 0 | Yuva: 0/3"
"Components","Bileşenler"
"Construct","İnşa Et"
"Contract Title","Sözleşme Başlığı"
"Contract description","Sözleşme açıklaması"
"Cost: 100 Liras","Maliyet: 100 Lira"
"Costs","Maliyetler"
"Craft","Üret"
"DNG: 0 | DEF: 0","HSR: 0 | SAV: 0"
"Description goes here...","Açıklama buraya gelecek..."
"Description here...","Açıklama burada..."
"Description of the mission goes here.","Görev açıklaması buraya gelecek."
"Description...","Açıklama..."
"Drops: ...","Düşenler: ..."
"EMPTY","BOŞ"
"ENGAGE","SAVAŞA GİR"
"ENGINE","MOTOR"
"ENTITY TYPE","VARLIK TÜRÜ"
"Enemy Name","Düşman Adı"
"Energy: 0/0","Enerji: 0/0"
"Engineering","Mühendislik"
"Entity Name","Varlık Adı"
"Eva: 0%","Kaçınma: %0"
"Fe","Fe"
"Fleet","Filo"
"GEN: 0.0 kW","ÜRETİM: 0.0 kW"
"Gathering","Toplama"
"Industry","Sanayi"
"Sectors","Sektörler"
"Warp Tech","Warp Teknolojisi"
"HORIZON IDLE","HORIZON IDLE"
"HP: 0 / 0","CAN: 0 / 0"
"HP: 100 | ATK: 10","CAN: 100 | SDR: 10"
"HP: 100 | Shield: 50","CAN: 100 | Kalkan: 50"
"HULL: 0 / 0","GÖVDE: 0 / 0"
"Hull Name","Gövde Adı"
"IN PROGRESS","DEVAM EDİYOR"
"INFO","BİLGİ"
"INITIALIZING SECURE LINK...","GÜVENLİ BAĞLANTI BAŞLATILIYOR..."
"ITEM DETAILS","EŞYA DETAYLARI"
"Idle","Boşta"
"In Storage: 0","Depoda: 0"
"Infrastructure","Altyapı"
"Inputs","Girdiler"
"Intel: Enemy Name","İstihbarat: Düşman Adı"
"Inventory","Envanter"
"Iron","Demir"
"Level: 1","Seviye: 1"
"Loot Info","Ganimet Bilgisi"
"Lvl 1","Svy 1"
"MODULE","MODÜL"
"Main Menu","Ana Menü"
"Metals","Metaller"
"Mine","Maden"
"Mission Control","Görev Kontrol"
"Mission Name","Görev Adı"
"Missions","Görevler"
"Module Name","Modül Adı"
"NET GROWTH: 0.00 /min","NET ARTIŞ: 0.00 /dk"
"NET: +0.0 kW","NET: +0.0 kW"
"No rounds","Tur yok"
"OPERATIONS","OPERASYONLAR"
"ORDNANCE","MÜHİMMAT"
"Offline progress report...","Çevrimdışı ilerleme raporu..."
"Open Star Chart","Yıldız Haritasını Aç"
"Ores","Cevherler"
"Other","Diğer"
"Outputs","Çıktılar"
"Overclock: 1.0x","Hız Aşırtma: 1.0x"
"Owned: 0","Sahip Olunan: 0"
"POWER","GÜÇ"
"Persistent orders from the Command Network. Orders track passively across all systems — no need to accept. Claim rewards as objectives complete. New orders are issued on each claim.","Komuta Ağı'ndan gelen kalıcı siparişler. Siparişler tüm sistemlerde pasif olarak takip edilir — kabul etmeye gerek yoktur. Hedefler tamamlandıkça ödülleri alabilirsiniz. Her ödül alımında yeni siparişler verilir."
"Pick a material or enemy from the list to view full details.","Tam detayları görmek için listeden bir malzeme veya düşman seçin."
"Planetary Operations","Gezegensel Operasyonlar"
"Processing","İşleme"
"Qty:","Mik:"
